view,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-020,622,14.358804036265457,14.784980358069301,2.8824950150931117,53.963574416924075,99.18086841907973
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-048,5582,57.57792761076274,59.3222642810702,2.9404418247468533,213.72773939501187,352.3264826278228
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-067,4600,61.692917145636116,64.59716991132642,4.495944280031184,202.38958737486027,394.0447029702928
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-110,7204,56.13575491870064,58.79692993015807,4.526044156758702,243.27726660295014,575.6990630517156
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-119,4147,64.60017858046754,65.72973460040133,1.7184855937740107,270.12766901222096,484.5542592170748
neural_fold0_seed17_all_control_at_treatment,FDE,eu-locality-124,2645,81.63211569291619,84.4124249059004,3.2937203451785524,368.26944635777176,720.9688355333298
neural_fold0_seed17_easy_control_original,FDE,eu-locality-007,3935,30.21611223566783,30.3989429494991,0.6014377346442723,103.4037463575082,180.8682328668919
neural_fold0_seed17_easy_control_original,FDE,eu-locality-008,121088,36.401004642452776,36.53765155314232,0.37398930933149055,137.17730227634686,282.30913749090433
neural_fold0_seed17_easy_control_original,FDE,eu-locality-020,622,14.420149097996456,14.784980358069301,2.4675802824028037,54.18434016797015,99.18086841907973
neural_fold0_seed17_easy_control_original,FDE,eu-locality-048,5582,59.25680728426475,59.3222642810702,0.11034136609369138,216.2196458274127,355.1127410078038
neural_fold0_seed17_easy_control_original,FDE,eu-locality-067,4600,64.4303357425952,64.59716991132642,0.2582685417336861,207.16877909819794,394.0447029702928
neural_fold0_seed17_easy_control_original,FDE,eu-locality-110,7204,58.66396409347769,58.79692993015807,0.22614418276315496,251.63945099324982,587.6090239057078
neural_fold0_seed17_easy_control_original,FDE,eu-locality-119,4147,65.67931129500532,65.72973460040133,0.07671308229456608,270.5290560144782,484.5542592170748
neural_fold0_seed17_easy_control_original,FDE,eu-locality-124,2645,84.20938858715098,84.4124249059004,0.2405289493528362,381.9827743206876,749.8979417287693
neural_fold0_seed17_easy_treatment_original,FDE,eu-locality-007,3935,30.218224583180753,30.3989429494991,0.5944889814707421,103.4037463575082,180.30773703058676
neural_fold0_seed17_easy_treatment_original,FDE,eu-locality-008,121088,36.39000884812761,36.53765155314232,0.40408372935510917,137.20918754896365,282.30913749090433
neural_fold0_seed17_easy_treatment_original,FDE,eu-locality-020,622,14.432320433086552,14.784980358069301,2.3852579877813307,54.18434016797015,99.18086841907973
