view,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99
neural_fold0_seed17_all_control_original,FDE,eu-locality-007,3935,29.077377972418127,30.3989429494991,4.347404379410335,100.64641919891027,177.47588961282636
neural_fold0_seed17_all_control_original,FDE,eu-locality-008,121088,35.13339789688198,36.53765155314232,3.8433057313985164,135.05447205498194,277.8297557076242
neural_fold0_seed17_all_control_original,FDE,eu-locality-020,622,14.289621252517101,14.784980358069301,3.3504211270855344,53.963574416924075,99.18086841907973
neural_fold0_seed17_all_control_original,FDE,eu-locality-048,5582,58.007095088935515,59.3222642810702,2.2169908854176246,214.0187379151913,354.61477747772864
neural_fold0_seed17_all_control_original,FDE,eu-locality-067,4600,62.077114802647884,64.59716991132642,3.9011850087826705,203.09808019544076,394.0447029702928
neural_fold0_seed17_all_control_original,FDE,eu-locality-110,7204,56.77516345296592,58.79692993015807,3.4385578968046615,247.1138091787453,584.7464834418972
neural_fold0_seed17_all_control_original,FDE,eu-locality-119,4147,64.6538913841024,65.72973460040133,1.6367679298257332,270.12766901222096,484.5542592170748
neural_fold0_seed17_all_control_original,FDE,eu-locality-124,2645,82.10723292887448,84.4124249059004,2.730868091510996,370.92724591771514,725.0889044622928
neural_fold0_seed17_all_supported_original,FDE,eu-locality-007,3935,29.077377972418127,30.3989429494991,4.347404379410335,100.64641919891027,177.47588961282636
neural_fold0_seed17_all_supported_original,FDE,eu-locality-008,121088,35.13339789688198,36.53765155314232,3.8433057313985164,135.05447205498194,277.8297557076242
neural_fold0_seed17_all_supported_original,FDE,eu-locality-020,622,14.289621252517101,14.784980358069301,3.3504211270855344,53.963574416924075,99.18086841907973
neural_fold0_seed17_all_supported_original,FDE,eu-locality-048,5582,58.007095088935515,59.3222642810702,2.2169908854176246,214.0187379151913,354.61477747772864
neural_fold0_seed17_all_supported_original,FDE,eu-locality-067,4600,62.077114802647884,64.59716991132642,3.9011850087826705,203.09808019544076,394.0447029702928
neural_fold0_seed17_all_supported_original,FDE,eu-locality-110,7204,56.77516345296592,58.79692993015807,3.4385578968046615,247.1138091787453,584.7464834418972
neural_fold0_seed17_all_supported_original,FDE,eu-locality-119,4147,64.6538913841024,65.72973460040133,1.6367679298257332,270.12766901222096,484.5542592170748
neural_fold0_seed17_all_supported_original,FDE,eu-locality-124,2645,82.10723292887448,84.4124249059004,2.730868091510996,370.92724591771514,725.0889044622928
neural_fold0_seed17_all_control_common,FDE,eu-locality-007,3935,29.077377972418127,30.3989429494991,4.347404379410335,100.64641919891027,177.47588961282636
neural_fold0_seed17_all_control_common,FDE,eu-locality-008,121088,35.13339789688198,36.53765155314232,3.8433057313985164,135.05447205498194,277.8297557076242
neural_fold0_seed17_all_control_common,FDE,eu-locality-020,622,14.289621252517101,14.784980358069301,3.3504211270855344,53.963574416924075,99.18086841907973
neural_fold0_seed17_all_control_common,FDE,eu-locality-048,5582,58.007095088935515,59.3222642810702,2.2169908854176246,214.0187379151913,354.61477747772864
neural_fold0_seed17_all_control_common,FDE,eu-locality-067,4600,62.077114802647884,64.59716991132642,3.9011850087826705,203.09808019544076,394.0447029702928
neural_fold0_seed17_all_control_common,FDE,eu-locality-110,7204,56.77516345296592,58.79692993015807,3.4385578968046615,247.1138091787453,584.7464834418972
neural_fold0_seed17_all_control_common,FDE,eu-locality-119,4147,64.6538913841024,65.72973460040133,1.6367679298257332,270.12766901222096,484.5542592170748
neural_fold0_seed17_all_control_common,FDE,eu-locality-124,2645,82.10723292887448,84.4124249059004,2.730868091510996,370.92724591771514,725.0889044622928
neural_fold0_seed17_all_supported_common,FDE,eu-locality-007,3935,29.077377972418127,30.3989429494991,4.347404379410335,100.64641919891027,177.47588961282636
