policy,seed,subset,site,rows,model_error,reference_error,absolute_harm,gain_percent,model_p95,model_p99,reference_p95,status
damped_velocity_005__net_stop,17,all,coupa,27778,11.508452270709958,11.908205875359586,-0.3997536046496286,3.3569591324986825,43.21763861074275,74.28355880551572,45.2720158430477,defined
damped_velocity_005__net_stop,17,all,deathCircle,35760,23.04503911290604,24.81068191340851,-1.7656428005024694,7.116462202307538,70.00714373665797,168.53873436213942,74.1003428865828,defined
damped_velocity_005__net_stop,17,all,gates,20236,18.865272868835792,19.761524366102755,-0.8962514972669631,4.535335840813559,59.81485155885078,108.33424013096776,63.51413075556157,defined
damped_velocity_005__net_stop,17,all,hyang,89183,14.974606888516458,15.923360932222653,-0.9487540437061952,5.95825245527336,45.42637116137263,81.96175366315974,48.7622634939038,defined
damped_velocity_005__net_stop,17,complete,coupa,24834,11.512147106229225,11.91138462404965,-0.39923751782042416,3.3517305537623665,44.52260841589154,75.7511954397758,46.686806643226895,defined
damped_velocity_005__net_stop,17,complete,deathCircle,27394,25.356512793494655,27.410282071573928,-2.0537692780792725,7.492696619160855,72.21585299596529,164.47261988035552,77.00976659652929,defined
damped_velocity_005__net_stop,17,complete,gates,15281,20.845386332015238,21.857657394899473,-1.0122710628842349,4.6311964937306165,62.67042904507782,110.98092188292628,67.08977164913256,defined
damped_velocity_005__net_stop,17,complete,hyang,76409,15.85025574622114,16.87458958863734,-1.0243338424161976,6.070274106731121,47.231916194727184,83.82743453263315,51.00479833178511,defined
damped_velocity_005__net_stop,17,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,17,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,17,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,17,zero_CV,hyang,4554,0.001537226523335272,0.0,0.001537226523335272,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,17,positive_easy,coupa,11220,2.4090088899871107,2.2054217761071366,0.20358711387997408,-9.231209924812322,5.590280529672699,20.10008157683344,5.688593111585037,defined
damped_velocity_005__net_stop,17,positive_easy,deathCircle,4581,2.8869798846310046,2.6720498000786166,0.21493008455238805,-8.04364067413954,4.924262947850838,12.205963700282796,4.73875633966901,defined
damped_velocity_005__net_stop,17,positive_easy,gates,2923,3.1422637919346568,2.8291753670221667,0.3130884249124901,-11.066419867851085,5.215611761498167,16.384552338784268,5.050768113241588,defined
damped_velocity_005__net_stop,17,positive_easy,hyang,19679,2.967452038483543,2.6604463533503466,0.3070056851331966,-11.539630737021955,5.301158332233935,14.552290235601353,5.0852898573061935,defined
damped_velocity_005__net_stop,17,hard,coupa,4416,39.42667363460474,42.671640735975274,-3.244967101370534,7.6045051125367085,78.46237104995222,110.30425305920855,83.68020660994014,defined
damped_velocity_005__net_stop,17,hard,deathCircle,12715,51.40574204098553,56.32319009010599,-4.917448049120459,8.73076976153786,121.73111172112488,339.295328672776,131.7154986698712,defined
damped_velocity_005__net_stop,17,hard,gates,6404,41.920623040804266,45.072436876713674,-3.151813835909408,6.992774418943759,94.1174682760153,149.4060414833406,100.44817818608435,defined
damped_velocity_005__net_stop,17,hard,hyang,18309,39.829888592341895,44.16203406081268,-4.3321454684707845,9.809660176669555,81.10892654765193,140.77610996703962,88.51562033239446,defined
damped_velocity_005__net_stop,29,all,coupa,27778,11.470851139128207,11.908205875359586,-0.437354736231379,3.6727172909930217,43.2224870868422,74.43725492727961,45.2720158430477,defined
damped_velocity_005__net_stop,29,all,deathCircle,35760,23.04437754082932,24.81068191340851,-1.7663043725791887,7.119128683136355,70.01013263451256,168.79542932538575,74.1003428865828,defined
damped_velocity_005__net_stop,29,all,gates,20236,18.87690897584382,19.761524366102755,-0.8846153902589364,4.476453202043107,60.08343096358436,108.54315048649123,63.51413075556157,defined
damped_velocity_005__net_stop,29,all,hyang,89183,14.944721386525016,15.923360932222653,-0.9786395456976376,6.145935835174432,45.358309366039066,82.03738139262133,48.7622634939038,defined
damped_velocity_005__net_stop,29,complete,coupa,24834,11.473979722846414,11.91138462404965,-0.4374049012032355,3.672158317514951,44.59365745644498,75.977096809307,46.686806643226895,defined
damped_velocity_005__net_stop,29,complete,deathCircle,27394,25.35944477236912,27.410282071573928,-2.050837299204808,7.481999980334553,72.24817508420288,164.47261988035552,77.00976659652929,defined
damped_velocity_005__net_stop,29,complete,gates,15281,20.85347996175746,21.857657394899473,-1.0041774331420115,4.594167686864459,63.18465239260422,110.98092188292628,67.08977164913256,defined
damped_velocity_005__net_stop,29,complete,hyang,76409,15.820582301709903,16.87458958863734,-1.054007286927435,6.2461210175870585,47.20753789478839,83.82238371487932,51.00479833178511,defined
damped_velocity_005__net_stop,29,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,zero_CV,hyang,4554,0.001537226523335272,0.0,0.001537226523335272,,0.0,0.0,0.0,zero_reference_percentage_undefined
damped_velocity_005__net_stop,29,positive_easy,coupa,11220,2.3653956758328327,2.2054217761071366,0.1599738997256961,-7.253664648585789,5.559186898554271,17.46993113891419,5.688593111585037,defined
damped_velocity_005__net_stop,29,positive_easy,deathCircle,4581,2.8728294679932382,2.6720498000786166,0.20077966791462165,-7.514069083170316,4.904708555789052,11.7874786257707,4.73875633966901,defined
