policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
cv_targets__original,ADE_vs_floor,all,eu-locality-008,157961,18.002029503738996,18.041144590837536,0.21681045180694802,63.85471877568163,131.20549207047296,63.85471877568163
cv_targets__original,ADE_vs_floor,all,eu-locality-020,1225,6.464799639736198,6.514432089833121,0.7618845267323038,20.950455289077674,42.958840384020256,20.950455289077674
cv_targets__original,ADE_vs_floor,all,eu-locality-048,8058,26.55502487729235,26.568426516120656,0.05044197412358287,89.49939807482255,160.11545465691114,89.49939807482255
cv_targets__original,ADE_vs_floor,all,eu-locality-067,6903,28.836124907482446,28.87697837044287,0.1414741613071202,92.96468374261876,168.56927310186109,92.96468374261876
cv_targets__original,ADE_vs_floor,all,eu-locality-074,102348,19.485817874848017,19.540144919218633,0.27802784777293255,64.32327120369061,132.49073574295682,64.46142956732993
cv_targets__original,ADE_vs_floor,all,eu-locality-082,1368,13.535905172172901,13.564534585131002,0.21106078338642975,52.30649963956743,101.91283477915022,52.30649963956743
cv_targets__original,ADE_vs_floor,all,eu-locality-112,5004,24.353891752992524,24.377253499056568,0.0958342007845503,86.2710070848162,186.18759729912014,86.2710070848162
cv_targets__original,ADE_vs_floor,all,eu-locality-126,5790,19.625273473396696,19.645962498046178,0.10530929523834276,86.5533275336093,157.09863889864567,86.5533275336093
cv_targets__original,ADE_vs_floor,easy,eu-locality-008,39889,1.647094835632699,1.7124634754637011,3.817228266039452,3.051907770623909,3.343230622057371,3.0954122497682435
cv_targets__original,ADE_vs_floor,easy,eu-locality-020,593,1.2453262707753026,1.2667120183194382,1.6882880429687885,3.040626325338701,3.3899938472394897,3.0442506244225767
cv_targets__original,ADE_vs_floor,easy,eu-locality-048,1582,1.636293516441814,1.6796162978639069,2.579326092345602,3.0743694701381585,3.380921428523672,3.080321842954575
cv_targets__original,ADE_vs_floor,easy,eu-locality-067,1219,1.590617674418319,1.6058934268181635,0.9512307694110933,3.0935997711687357,3.3448505278100407,3.1204027321405072
cv_targets__original,ADE_vs_floor,easy,eu-locality-074,17048,1.9046603342006048,1.9698182133276747,3.3078117912716754,3.222870721546701,3.534804668858814,3.248088316777988
cv_targets__original,ADE_vs_floor,easy,eu-locality-082,513,1.5462004828417095,1.5717224694033087,1.6238227205142897,2.97384013935923,3.3963414460134995,2.9910454520185303
cv_targets__original,ADE_vs_floor,easy,eu-locality-112,571,1.9853536795903686,2.011879820091856,1.3184753998017884,3.1756828589252075,3.380427508819609,3.1756828589252075
cv_targets__original,ADE_vs_floor,easy,eu-locality-126,2160,1.3654600121595328,1.4103792615006157,3.1849056893597294,2.942624617246482,3.2666607746245173,2.9648916649582264
cv_targets__original,ADE_vs_floor,hard,eu-locality-008,28100,60.570188122543264,60.57267643715081,0.004107981938239469,138.37729324495885,231.14803055134072,138.38282192988999
cv_targets__original,ADE_vs_floor,hard,eu-locality-020,30,43.951869033620255,43.951869033620255,0.0,64.72063289570352,69.65016417684733,64.72063289570352
cv_targets__original,ADE_vs_floor,hard,eu-locality-048,2478,63.81610989740674,63.81613301956246,3.623246133122038e-05,138.97729297348553,219.8528418739297,138.97729297348553
cv_targets__original,ADE_vs_floor,hard,eu-locality-067,2296,64.87130335601644,64.95146996619232,0.12342539778946726,143.40335944857748,213.5382101003649,143.40335944857748
cv_targets__original,ADE_vs_floor,hard,eu-locality-074,19310,59.889111842955,60.00555441541746,0.19405298992211106,136.04231560184755,237.87669095023648,136.34580362984687
cv_targets__original,ADE_vs_floor,hard,eu-locality-082,184,55.57409669773812,55.56439239170911,-0.01746497282035797,116.0311931849977,199.45076524670506,111.15642414153585
cv_targets__original,ADE_vs_floor,hard,eu-locality-112,1153,69.76508397868075,69.78349615436602,0.02638471372162776,174.675987810338,312.16727648534334,174.675987810338
cv_targets__original,ADE_vs_floor,hard,eu-locality-126,1110,73.83078926777138,73.83050161725946,-0.00038960931540987787,160.69598223874476,237.31079754913677,160.69598223874476
