policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
cv_targets__original,ADE_vs_original,hard,eu-locality-119,1922,68.57522846928319,68.57522846928319,0.0,172.59455039343038,274.8305239891827,172.59455039343038
cv_targets__original,ADE_vs_original,hard,eu-locality-124,1375,95.90763795718095,95.90763795718095,0.0,271.53074393806423,453.7591506726,271.53074393806423
cv_targets__original,ADE_vs_original,hard,eu-locality-126,1386,61.74710667022145,61.74710667022145,0.0,148.87193063177466,226.69528204190547,148.87193063177466
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-007,3935,27.803284217145013,27.91198062583852,0.38942563822534915,100.02395477832108,176.37171802076864,100.21215859599751
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-074,81289,38.77719851402971,38.94154388018175,0.4220309463274119,134.15518939256333,278.8006116419119,134.65663106962577
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-082,859,24.25202978251087,24.53880361882463,1.1686545145736638,111.79916155617079,229.79762677801716,111.79916155617079
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-110,7204,54.90093515408216,55.39676090600184,0.8950446629199194,243.54752161455343,539.3425618903042,246.0589932957891
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-112,3719,46.55915957826941,46.61711076526928,0.12431312462000133,174.56446744011558,414.1148860954396,172.89240584990873
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-119,4147,63.20502030193744,63.241362619202924,0.05746605664447291,257.343207735591,483.78380588041233,257.343207735591
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-124,2645,80.6207781117452,81.30780822548353,0.8449743373146301,365.8471039875584,717.4852338748225,372.2649807819272
cv_targets__original,FDE_vs_floor,endpoint,eu-locality-126,4579,37.86636567137646,37.913446579217,0.12417997330359531,174.60146812505522,353.7949674880808,174.60146812505522
cv_targets__original,ADE_vs_CV,easy,eu-locality-007,1784,1.379951014625657,1.4116372489032123,2.2446442456923177,3.107048691891239,3.457455363081332,3.1829165280653378
cv_targets__original,ADE_vs_CV,easy,eu-locality-074,17176,1.969196270294176,2.0345987086931556,3.214512921862034,3.3120545781699957,4.534501151056994,3.3227202724286355
cv_targets__original,ADE_vs_CV,easy,eu-locality-082,515,1.546776997171918,1.6292457075972016,5.061772453395486,3.032126970856838,3.367234059951519,3.1617325949953337
cv_targets__original,ADE_vs_CV,easy,eu-locality-110,2009,1.748666969028008,1.8571965321602297,5.8437306581648585,3.1049167252293506,3.3859780972174995,3.2841980969419593
cv_targets__original,ADE_vs_CV,easy,eu-locality-112,575,2.0230569790154975,2.120126457156666,4.578475864659016,3.238201373144575,3.4595967602057143,3.337428914790469
cv_targets__original,ADE_vs_CV,easy,eu-locality-119,1323,1.7622961567558189,1.9039962115564375,7.442244576988144,3.115322500915983,3.4497203208808567,3.27321556485438
cv_targets__original,ADE_vs_CV,easy,eu-locality-124,739,1.8858459982860876,2.0089308960456713,6.126885598795906,3.122035057622891,3.3923282473014584,3.2764853371884692
cv_targets__original,ADE_vs_CV,easy,eu-locality-126,2167,1.4016343206637585,1.49949345147157,6.526145926931182,2.9422242733712753,3.307656423386407,3.17156482441628
cv_targets__stop,ADE_vs_floor,all,eu-locality-007,5526,12.957409629938288,12.995296582595552,0.2915435782204878,44.84717682318422,77.68841805298086,45.00724434474006
cv_targets__stop,ADE_vs_floor,all,eu-locality-074,102348,18.845432820296693,18.920116249513736,0.394730287235745,62.54967742163856,129.3370457064635,62.7901198880602
cv_targets__stop,ADE_vs_floor,all,eu-locality-082,1368,13.11561999767062,13.236575113105037,0.9137946515686113,50.49887773437855,100.89176991053361,50.49887773437855
cv_targets__stop,ADE_vs_floor,all,eu-locality-110,8550,29.325418779779174,29.57467893081963,0.84281608474438,118.29796250473791,260.305669724724,119.69634221657493
cv_targets__stop,ADE_vs_floor,all,eu-locality-112,5004,23.936008181368038,23.965938221402943,0.12488574308422429,84.21965666617047,184.63921224037153,84.18765870073145
cv_targets__stop,ADE_vs_floor,all,eu-locality-119,5639,28.22908033840873,28.234961609733304,0.02082974790569292,111.75001466333755,198.1713122174455,111.75001466333755
cv_targets__stop,ADE_vs_floor,all,eu-locality-124,3550,41.511068448710475,41.671584501143904,0.38519306226290073,180.97080314785984,333.55000293878123,183.18673156958803
cv_targets__stop,ADE_vs_floor,all,eu-locality-126,5790,18.95268926089677,18.971354255094564,0.09838514397454423,83.47879243726618,153.44702055996248,83.47879243726618
cv_targets__stop,ADE_vs_floor,easy,eu-locality-007,1784,1.379951014625657,1.380722076670137,0.055844840718377586,3.107048691891239,3.457455363081332,3.10114446630758
cv_targets__stop,ADE_vs_floor,easy,eu-locality-074,17176,1.969196270294176,1.989627005441995,1.0268625773542928,3.3120545781699957,4.534501151056994,3.295100134013896
cv_targets__stop,ADE_vs_floor,easy,eu-locality-082,515,1.546776997171918,1.5738559331973196,1.720547316576182,3.032126970856838,3.367234059951519,3.0267587675843264
cv_targets__stop,ADE_vs_floor,easy,eu-locality-110,2009,1.748666969028008,1.7462521139686404,-0.13828788180414442,3.1049167252293506,3.3859780972174995,3.092640408692903
cv_targets__stop,ADE_vs_floor,easy,eu-locality-112,575,2.0230569790154975,2.028905603016229,0.28826496373397514,3.238201373144575,3.4595967602057143,3.19705338431151
cv_targets__stop,ADE_vs_floor,easy,eu-locality-119,1323,1.7622961567558189,1.8100316938321621,2.6372763106306985,3.115322500915983,3.4497203208808567,3.1063793508005806
cv_targets__stop,ADE_vs_floor,easy,eu-locality-124,739,1.8858459982860876,1.8978380644339403,0.6318803681192642,3.122035057622891,3.3923282473014584,3.104466541824364
cv_targets__stop,ADE_vs_floor,easy,eu-locality-126,2167,1.4016343206637585,1.4041068002298809,0.17608913835597262,2.9422242733712753,3.307656423386407,2.9645477628127384
cv_targets__stop,ADE_vs_floor,hard,eu-locality-007,1057,38.64651063445206,38.81387995615649,0.43120997409556994,79.37656597410016,112.04683381609054,79.62499588488345
cv_targets__stop,ADE_vs_floor,hard,eu-locality-074,26162,49.14911105444428,49.41257611628986,0.5331943455559318,117.41685856148929,213.84575180651365,118.42570951580807
cv_targets__stop,ADE_vs_floor,hard,eu-locality-082,245,46.48005465769241,46.67165134050888,0.4105204708070187,102.84492248432812,169.5400402883042,102.84492248432812
cv_targets__stop,ADE_vs_floor,hard,eu-locality-110,2779,75.7441783314861,76.47652182198892,0.9576056455698589,214.67222398484313,380.302674112872,217.68084921801116
cv_targets__stop,ADE_vs_floor,hard,eu-locality-112,1522,58.03794884563414,58.09264036347715,0.09414534698511945,156.09076825692148,273.8161229399875,156.09076825692148
cv_targets__stop,ADE_vs_floor,hard,eu-locality-119,1922,68.57522846928319,68.564445057313,-0.015727410848564993,172.59455039343038,274.8305239891827,172.59455039343038
cv_targets__stop,ADE_vs_floor,hard,eu-locality-124,1375,95.90763795718095,96.1965990646659,0.3003859910792772,271.53074393806423,453.7591506726,272.5195589964772
