view,locality,rows,selected,selected_known_ADE,predicted_risk_violations,selected_positive_harm_mean,selected_net_gain_mean
damping097_fold0_seed17_all_product_common,eu-locality-020,1282,263,236,0,0.1786287187546637,0.06598720305044983
damping097_fold0_seed17_all_product_common,eu-locality-048,8344,3491,3425,0,0.46323475102266265,1.7521894927768762
damping097_fold0_seed17_all_product_common,eu-locality-067,7105,2517,2479,0,0.18467197771475177,1.7841100291716594
damping097_fold0_seed17_all_product_common,eu-locality-110,8660,5658,5602,0,0.10202431651766683,1.601882258574747
damping097_fold0_seed17_all_product_common,eu-locality-119,5787,2635,2601,0,0.30513820505353356,1.2258758725420627
damping097_fold0_seed17_all_product_common,eu-locality-124,3651,1625,1604,0,0.18372283626560051,1.90644156374665
damping097_fold0_seed17_all_hurdle_common,eu-locality-007,5664,2648,2579,0,0.14412700652749816,1.2660028835423374
damping097_fold0_seed17_all_hurdle_common,eu-locality-008,161653,97355,95972,0,0.2248720204015475,1.0840262749325424
damping097_fold0_seed17_all_hurdle_common,eu-locality-020,1282,269,240,0,0.13539787831551278,0.22664326212807903
damping097_fold0_seed17_all_hurdle_common,eu-locality-048,8344,4571,4458,0,0.19532296803614013,2.232904252100362
damping097_fold0_seed17_all_hurdle_common,eu-locality-067,7105,3649,3595,0,0.18227301306001184,2.2118998541413917
damping097_fold0_seed17_all_hurdle_common,eu-locality-110,8660,6814,6754,0,0.06954039452177019,1.5370230604971076
damping097_fold0_seed17_all_hurdle_common,eu-locality-119,5787,3443,3383,0,0.23589609393228322,1.2781312407533012
damping097_fold0_seed17_all_hurdle_common,eu-locality-124,3651,2057,2029,0,0.1462310190082323,1.6242192735826952
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-007,5664,2005,1962,0,0.10216418617763795,0.9894697533501433
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-008,161653,78750,77823,0,0.08652284039932241,0.7884949916655606
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-020,1282,263,235,0,0.13445336576943326,0.20964166760504419
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-048,8344,3491,3425,0,0.08239613827917255,1.6239290490914626
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-067,7105,2517,2486,0,0.10864983580665297,1.7928157856615095
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-110,8660,5658,5611,0,0.03896942710115333,1.0680493264071274
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-119,5787,2635,2606,0,0.12379923791309823,0.8321367006383167
damping097_fold0_seed17_all_hurdle_at_product,eu-locality-124,3651,1625,1610,0,0.0877978367864446,0.8905381992500175
